,Labels,Column_1,Column_2
0,along.,0.22466441988945007,0.38667094707489014
1,rue,-0.20181690156459808,-0.44417986273765564
2,worked,-0.23179295659065247,0.0011077208910137415
3,justice,0.3479668200016022,0.0374642014503479
4,shells,-0.027742046862840652,-0.07878126949071884
5,recovered,-0.014330277219414711,-0.01179338339716196
6,awakened,0.04803841561079025,-0.6529436707496643
7,throw,-0.0070990039967000484,-0.9671589136123657
8,minds,0.4748385548591614,-0.32929670810699463
9,peas.,0.24344034492969513,0.6251128315925598
10,goose-girl,-0.28721243143081665,-0.6460722088813782
11,glittering,-0.9725483059883118,-0.021131275221705437
12,slaughter-house,-0.0896557942032814,0.01642695814371109
13,cur,-0.40874120593070984,0.046196188777685165
14,well-nigh,-0.23294635117053986,0.04290951415896416
15,sorrows,-0.11910926550626755,-0.0328131802380085
16,retinue,0.007358897477388382,-0.10350001603364944
17,child,0.19379277527332306,0.14083023369312286
18,hurrah,0.09403477609157562,0.0664835050702095
19,monster,0.01776496134698391,0.3206493556499481
20,nonsense,0.1002863422036171,0.06671211868524551
21,curtain,0.023210715502500534,-0.2266055941581726
22,hat,0.16537296772003174,0.04761457070708275
23,puddings,-0.05216051638126373,0.2231876105070114
24,mightily,-0.29267922043800354,0.1602715402841568
25,heels,0.139023557305336,-0.026273328810930252
26,according,0.7451748251914978,-0.10009009391069412
27,remorse,-0.03770197182893753,0.27412089705467224
28,dictionary,0.25567612051963806,0.1342252641916275
29,remembered,-0.0307571180164814,-0.6766132116317749
30,hewed,-0.07057982683181763,-0.4116816818714142
31,kid,-0.780189037322998,-0.24754248559474945
32,sit,0.018343403935432434,-0.132803276181221
33,sea-shore,-0.30258476734161377,0.1833217889070511
34,ill,-0.41260114312171936,0.6135828495025635
35,hiding-place,-0.0847388505935669,0.0985046848654747
36,greatly,-1.0610177516937256,0.011736320331692696
37,pigeons,-0.10483843833208084,-0.13538722693920135
38,disheartened,0.15907829999923706,-0.07856789231300354
39,braided,-0.22869771718978882,0.11102039366960526
40,toasted,-0.15948526561260223,-0.1499054878950119
41,thou,-0.9345237016677856,0.48862510919570923
42,years,-0.15864191949367523,0.29699039459228516
43,heard,1.1506012678146362,-1.0343507528305054
44,”,1.0894238948822021,-0.7219579815864563
45,aloud,0.191859632730484,0.09816885739564896
46,flower,0.14407497644424438,-0.006402925122529268
47,howsoever,-0.18653541803359985,-0.0647115707397461
48,jacket,-0.21289682388305664,0.002469151047989726
49,deletions,0.45081356167793274,-0.08373058587312698
50,carve,-0.039053961634635925,-0.34281590580940247
51,abide,-0.16844046115875244,-0.06342808902263641
52,jewels,0.18940261006355286,0.19106529653072357
53,wrapped,-0.05674362927675247,-0.8279346227645874
54,sorry,0.028202591463923454,-0.008000032044947147
55,reverence,0.18682634830474854,-0.018901484087109566
56,seemed,-0.647395670413971,-0.520301878452301
57,leap,0.3052181899547577,-0.10568800568580627
58,huntsman.,0.23953509330749512,0.409518301486969
59,bore,-0.15508592128753662,-1.0227097272872925
60,henceforth,-0.453995019197464,-0.028206123039126396
61,lodging,0.16126377880573273,0.029610417783260345
62,twilight,0.17859531939029694,0.1822611391544342
63,favoured,-0.22375205159187317,-0.4250367283821106
64,head,0.196961909532547,-0.184566468000412
65,farmer,-0.7202736139297485,0.06873493641614914
66,little.,0.24658812582492828,0.48497286438941956
67,basted,0.10593921691179276,-0.3429681956768036
68,millet-seed,0.1000252291560173,-0.21580193936824799
69,study,0.5398539304733276,0.21303799748420715
70,gained,-0.046123240143060684,-0.035291384905576706
71,faithfully,0.30298230051994324,0.17717435956001282
72,meadow,0.2610471546649933,0.14183583855628967
73,fit,0.43848177790641785,0.09494588524103165
74,will,-4.873600959777832,-2.5915634632110596
75,kitchen-maid,0.0364144966006279,-0.2472209632396698
76,neighbouring,-0.14485642313957214,0.05731360614299774
77,greeting,0.06549563258886337,-0.33807146549224854
78,moreover,0.15340793132781982,0.2168816775083542
79,thrust,-0.08939900249242783,-0.8064941167831421
80,nasty,-0.5058731436729431,0.451351135969162
81,lot,0.510009229183197,0.3308964967727661
82,push,-0.041401010006666183,-0.8388761878013611
83,superior,0.05525871366262436,-0.028002668172121048
84,snore,-0.4230128824710846,-0.1766546219587326
85,pigeon,0.1740233600139618,-0.16971391439437866
86,humming,0.12394353747367859,-0.24140243232250214
87,finely,0.009717308916151524,0.19525587558746338
88,apples,0.1033521369099617,0.06339561194181442
89,pantaloons,0.21193833649158478,-0.1116078570485115
90,information,-0.28603827953338623,-0.05275953561067581
91,texts,-0.40092185139656067,-0.05308482050895691
92,dress.,0.17812323570251465,0.5338535904884338
93,transcribe,0.2582457363605499,-0.22970779240131378
94,bung,0.5115541815757751,0.24179545044898987
95,?,4.298694610595703,3.431605100631714
96,troubles,0.025163738057017326,0.15787959098815918
97,floor,0.1346701681613922,-0.0677015632390976
98,web,-0.11118707805871964,0.10565727949142456
99,clave,0.44565722346305847,-0.11044421046972275
100,greater,0.08574668318033218,0.20295892655849457
101,finding,-0.29666075110435486,-0.497015118598938
102,shelter.,0.24607867002487183,0.505158543586731
103,hairy,-0.3284594416618347,0.15128584206104279
104,1.f.5,0.24720121920108795,0.2846560776233673
105,feigning,0.46295982599258423,-0.0825856477022171
106,[,-0.5738434791564941,0.3178175687789917
107,fond,0.7686232328414917,0.4761892855167389
108,charge,0.2887219488620758,-0.4899389445781708
109,manages,-0.14603978395462036,0.06916053593158722
110,conducted,-0.10774306952953339,-0.34646299481391907
111,doors,0.032619260251522064,-0.07334720343351364
112,merrymaking,0.1678716391324997,-0.019094498828053474
113,lonely,-0.1819760799407959,-0.3981326222419739
114,successor,0.046640582382678986,0.05053069442510605
115,carry,0.18315120041370392,-0.652255117893219
116,codes,-0.11005515605211258,-0.17802190780639648
117,ripe.,0.22900982201099396,0.5356884002685547
118,corn,0.0703362226486206,-0.2970234751701355
119,darted,0.005432530306279659,0.06395076215267181
120,good-for-nothing,-0.6513741612434387,0.3223881125450134
121,polish,-0.13430194556713104,-0.1690473109483719
122,chest,0.05215519294142723,-0.4586409330368042
123,fetch,-0.2393476366996765,-0.812595784664154
124,cooked,0.5798755288124084,-0.5153668522834778
125,sickness,-0.12887762486934662,-0.07756408303976059
126,ties,-0.10917951911687851,-0.6725834012031555
127,sparkling,0.03833145275712013,0.39878079295158386
128,led,-0.04163489490747452,-0.7660471796989441
129,deserted,0.11861934512853622,-0.5762532949447632
130,stupid,0.23357385396957397,0.1048518717288971
131,them,0.060869231820106506,0.026496313512325287
132,human,-0.2844192683696747,-0.10019650310277939
133,sunrise,-0.12897060811519623,-0.049457624554634094
134,deny,-0.009805658832192421,-0.5162293314933777
135,wert.,0.2746536433696747,0.41800329089164734
136,bend,0.0029927834402769804,-0.2688886225223541
137,merry.,0.33293044567108154,0.5049736499786377
138,trade,0.2531723082065582,0.10077549517154694
139,celebrated,0.20228613913059235,0.18074986338615417
140,cheerfully,0.39681124687194824,-0.13719488680362701
141,obedient,0.43677589297294617,-0.09375683218240738
142,strew,-0.15274910628795624,-0.1717473268508911
143,blind,-0.00041173031786456704,-0.06271564215421677
144,ducat,0.1047031581401825,-0.2044670283794403
145,64-6221541.,-0.30840909481048584,-0.03203690052032471
146,fright,-0.34869083762168884,0.22900475561618805
147,like,-1.0201590061187744,-0.8563500046730042
148,repair,0.5695333480834961,-0.10851223766803741
149,work,0.15745045244693756,0.02092883363366127
150,previous,-0.26932162046432495,0.27103081345558167
151,stable,0.18396392464637756,-0.09055463969707489
152,doom,0.17446766793727875,0.17639872431755066
153,picked,0.14585359394550323,-0.7657768130302429
154,throughout,-0.3099689483642578,-0.6264416575431824
155,derry,0.09256777167320251,0.00792844407260418
156,grey-beard,-0.21654173731803894,-0.021824758499860764
157,food.,0.22477206587791443,0.5160524845123291
158,broad,-0.33392268419265747,0.0018299705116078258
159,country.,0.27966731786727905,0.5149205923080444
160,ascending,-0.11500528454780579,-0.3339684009552002
161,splashed,-0.07747896015644073,-0.34661564230918884
162,on.,0.3437574803829193,0.5040998458862305
163,acquaintance,0.24180391430854797,-0.24669942259788513
164,hump-backed,-0.29376572370529175,0.2381414771080017
165,beautifully,0.4492676258087158,-0.6946083903312683
166,settled,-0.013936885632574558,-0.09079018980264664
167,peasants,-0.08281894028186798,-0.02423962578177452
168,frightened,0.23213517665863037,-0.017741866409778595
169,bacon.,0.3516394793987274,0.5057809352874756
170,emptied,0.015087608247995377,-0.6025097370147705
171,leaves,-0.11526185274124146,0.005409533623605967
172,gratefully,-0.2559987008571625,0.02786305733025074
173,puts,-0.1990395486354828,-0.3872942626476288
174,alas,2.9215588569641113,0.30378153920173645
175,being,-1.091479778289795,-0.3459137976169586
176,all-gone.,0.27229204773902893,0.3803885281085968
177,fitness,-0.0032978092785924673,-0.06431471556425095
178,detach,-0.01376645639538765,-0.0570279136300087
179,she,-5.224710464477539,0.6816815137863159
180,danger,0.4734954833984375,0.2857019901275635
181,envy,0.36452463269233704,0.03463555499911308
182,hoped,-0.29266801476478577,-0.39549168944358826
183,embarked,-0.10232573747634888,-0.2874634861946106
184,clad,0.029234355315566063,0.24306720495224
185,provide,-0.2217296063899994,-0.17152421176433563
186,upon.,0.3728242516517639,0.6336532831192017
187,ruin,0.05727526545524597,-0.4923831522464752
188,comes,0.5753199458122253,-0.33128049969673157
189,﻿the,-0.01853088103234768,0.011987563222646713
190,watching,0.0009233278688043356,-0.6140398383140564
191,sewed,0.253970205783844,-0.5438357591629028
192,comes.,0.22849079966545105,0.46443474292755127
193,gazed,0.0902891531586647,-0.06372915208339691
194,provisions,0.09769618511199951,0.1730167120695114
195,bedchamber,0.29086217284202576,-0.08278818428516388
196,nibble,0.3538123667240143,0.23962894082069397
197,treading,-0.07700866460800171,-0.06368640065193176
198,prepare,-0.12807700037956238,-0.26892101764678955
199,musing,-0.10512150079011917,-0.14718014001846313
200,constantly,-0.196165531873703,0.024602582678198814
201,meet,0.0332937128841877,-0.6754158139228821
202,way,1.3357791900634766,-0.7805724143981934
203,verily,0.3826258182525635,0.3021732568740845
204,pairs,-0.34259238839149475,-0.18981358408927917
205,built,-0.520837664604187,-0.40327075123786926
206,lover,-0.010592379607260227,0.05642244592308998
207,anvil,0.25469547510147095,-0.15855278074741364
208,to,-5.652710914611816,-3.793872117996216
209,minute,-0.07985959202051163,-0.36116695404052734
210,refuse.,0.2802657186985016,0.5982913374900818
211,•,0.2524558901786804,-0.9393052458763123
212,gave,-0.2801714539527893,-3.6512227058410645
213,fowler,0.11637283116579056,0.4385080337524414
214,office,-0.19201397895812988,-0.004013473633676767
215,hood,-0.458898663520813,0.034370824694633484
216,think,2.3675713539123535,-1.472464680671692
217,nailed,-0.025870641693472862,-0.4166491627693176
218,lazy,-0.49478238821029663,0.9472907781600952
219,cousin,0.18157890439033508,0.15848106145858765
220,agent,-0.06775699555873871,-0.03605702891945839
221,dowry,0.3122466802597046,-0.05469796434044838
222,breast,0.7643819451332092,0.006836682092398405
223,there.,0.38842570781707764,0.5496370196342468
224,dancing,0.18180660903453827,0.047849468886852264
225,safer,0.32626473903656006,-0.7175219058990479
226,children,-0.012840917333960533,0.053983449935913086
227,cobbler,-0.3862255811691284,-0.27745547890663147
